timestamp(ms),adc1,adc2,adc3,
"1747073284.377","0.374194","0.409677","3.3",
"1747073284.378","0.367742","0.406452","3.3",
"1747073284.379","0.354839","0.396774","3.3",
"1747073284.38","0.322581","0.251613","3.3",
"1747073284.381","0.319355","0.290323","3.3",
"1747073284.382","0.322581","0.351613","3.3",
"1747073284.383","0.3","0.251613","3.3",
"1747073284.384","0.296774","0.287097","3.3",
"1747073284.385","0.245161","0.187097","3.3",
"1747073284.386","0.254839","0.225806","3.3",
"1747073284.387","0.241935","0.177419","3.3",
"1747073284.388","0.229032","0.177419","3.3",
"1747073284.389","0.225806","0.196774","3.3",
"1747073284.39","0.248387","0.2","3.3",
"1747073284.391","0.219355","0.229032","3.280645",
"1747073284.392","0.290323","0.216129","3.3",
"1747073284.393","0.293548","0.251613","3.3",
"1747073284.394","0.351613","0.206452","3.3",
"1747073284.395","0.3","0.277419","3.3",
"1747073284.396","0.325806","0.296774","3.3",
"1747073284.397","0.409677","0.270968","0.019355",
"1747073284.398","0.387097","0.322581","0.016129",
"1747073284.399","0.441935","0.332258","0",
"1747073284.4","0.425806","0.322581","0.012903",
"1747073284.401","0.454839","0.309677","0",
"1747073284.402","0.451613","0.290323","0.019355",
"1747073284.403","0.441935","0.309677","0.003226",
"1747073284.404","0.425806","0.287097","0.016129",
"1747073284.405","0.432258","0.277419","0.022581",
"1747073284.406","0.383871","0.258065","0",
"1747073284.407","0.390323","0.248387","0.012903",
"1747073284.408","0.367742","0.254839","0.012903",
"1747073284.409","0.36129","0.254839","0.003226",
"1747073284.41","0.406452","0.258065","0.019355",
"1747073284.411","0.370968","0.264516","0.016129",
"1747073284.412","0.348387","0.3","0.025806",
"1747073284.413","0.409677","0.258065","0.006452",
"1747073284.414","0.341935","0.248387","0.012903",
"1747073284.415","0.425806","0.335484","0.012903",
"1747073284.418","0.445161","0.358065","0.032258",
"1747073284.419","0.387097","0.341935","0.009677",
"1747073284.42","0.354839","0.341935","0.016129",
"1747073284.421","0.432258","0.412903","0.012903",
"1747073284.422","0.43871","0.43871","0.022581",
"1747073284.423","0.464516","0.374194","0.006452",
"1747073284.424","0.432258","0.441935","0.022581",
"1747073284.425","0.387097","0.43871","0.012903",
"1747073284.426","0.390323","0.458065","0.025806",
"1747073284.427","0.296774","0.374194","0.009677",
"1747073284.428","0.270968","0.387097","0",
"1747073284.429","0.377419","0.432258","0.003226",
"1747073284.43","0.290323","0.441935","0.022581",
"1747073284.431","0.316129","0.419355","0.025806",
"1747073284.432","0.190323","0.425806","0",
"1747073284.433","0.2","0.370968","0.006452",
"1747073284.434","0.232258","0.370968","0.025806",
"1747073284.435","0.190323","0.425806","0.074194",
"1747073284.436","0.232258","0.377419","0.019355",
"1747073284.437","0.251613","0.4","0",
"1747073284.438","0.251613","0.332258","0.035484",
"1747073284.439","0.270968","0.422581","0.012903",
"1747073284.44","0.277419","0.358065","0.025806",
"1747073284.441","0.258065","0.380645","0.022581",
"1747073284.442","0.3","0.429032","0.016129",
"1747073284.443","0.319355","0.435484","0.012903",
"1747073284.444","0.335484","0.432258","0.016129",
"1747073284.445","0.351613","0.416129","0.009677",
"1747073284.446","0.36129","0.441935","0.016129",
"1747073284.447","0.370968","0.409677","0.009677",
"1747073284.448","0.370968","0.374194","0.087097",
"1747073284.449","0.364516","0.409677","0.012903",
"1747073284.45","0.332258","0.296774","0.012903",
"1747073284.451","0.332258","0.322581","0.025806",
