x-axis,1,2,EXT
second,Volt,Volt,
-198.2500E-03,+2.6075382E+00,+4.0424120E+00,1
-198.0000E-03,+2.3562819E+00,+3.5398994E+00,1
-197.7500E-03,+2.7582919E+00,+4.1931657E+00,1
-197.5000E-03,+2.4567844E+00,+4.0424120E+00,1
-197.2500E-03,+2.7080407E+00,+4.0424120E+00,1
-197.0000E-03,+2.9592970E+00,+3.9419095E+00,1
-196.7500E-03,+2.7080407E+00,+4.2434170E+00,1
-196.5000E-03,+2.8587944E+00,+3.9419095E+00,1
-196.2500E-03,+2.9592970E+00,+4.2434170E+00,1
-196.0000E-03,+2.5572869E+00,+3.5398994E+00,1
-195.7500E-03,+2.7582919E+00,+4.1429145E+00,1
-195.5000E-03,+2.7582919E+00,+4.1429145E+00,1
-195.2500E-03,+2.8587944E+00,+4.1931657E+00,1
-195.0000E-03,+2.7582919E+00,+3.9419095E+00,1
-194.7500E-03,+2.9090457E+00,+4.2936683E+00,1
-194.5000E-03,+2.7582919E+00,+4.1429145E+00,1
-194.2500E-03,+2.9090457E+00,+4.2434170E+00,1
-194.0000E-03,+2.9592970E+00,+4.3439195E+00,1
-193.7500E-03,+2.9592970E+00,+4.3941708E+00,1
-193.5000E-03,+3.1603020E+00,+4.4444220E+00,1
-193.2500E-03,+3.0597995E+00,+4.4444220E+00,1
-193.0000E-03,+2.7582919E+00,+4.3439195E+00,1
-192.7500E-03,+2.8587944E+00,+4.5951758E+00,1
-192.5000E-03,+3.2608045E+00,+4.3439195E+00,1
-192.2500E-03,+3.1603020E+00,+4.0926632E+00,1
-192.0000E-03,+3.5623120E+00,+4.3439195E+00,1
-191.7500E-03,+3.3613070E+00,+4.2936683E+00,1
-191.5000E-03,+3.3613070E+00,+4.4444220E+00,1
-191.2500E-03,+3.5120608E+00,+4.0424120E+00,1
-191.0000E-03,+3.5623120E+00,+4.5449245E+00,1
-190.7500E-03,+3.5623120E+00,+4.3439195E+00,1
-190.5000E-03,+3.4618095E+00,+4.0424120E+00,1
-190.2500E-03,+3.5623120E+00,+3.9921607E+00,1
-190.0000E-03,+3.5623120E+00,+4.1429145E+00,1
